team_1,team_2,team_1_out,team_2_out,Team_1_win_%,Team_2_win_%,homeTeam,date,winner
Grizzlies,Mavericks,"['Ziaire Williams', ' Jaren Jackson Jr.', ' Dillon Brooks', ' Danny Green']","['Facundo Campazzo', ' Davis Bertans', ' Frank Ntilikina']",0.6666666666666666,0.5,Mavericks,2022-10-22,Mavericks
Thunder,Nuggets,"['Jalen Williams', ' Chet Holmgren']","['Collin Gillespie', ' Jack White']",0.0,0.6666666666666666,Nuggets,2022-10-22,Nuggets
Clippers,Kings,"['Kawhi Leonard', ' John Wall']","['Neemias Queta', ' Keon Ellis']",1.0,0.0,Kings,2022-10-22,Clippers
Trail Blazers,Lakers,"['Trendon Watford', ' Gary Payton II', ' Olivier Sarr', ' John Butler Jr.']","['Thomas Bryant', ' Dennis Schroder', ' Cole Swider']",1.0,0.0,Lakers,2022-10-23,Trail Blazers
Hornets,Hawks,"['Terry Rozier', ' LaMelo Ball', ' Cody Martin']","['Jarrett Culver', ' Bogdan Bogdanovic']",0.6666666666666666,0.6666666666666666,Hawks,2022-10-23,Hornets
Wizards,Cavaliers,"['Corey Kispert', ' Jordan Schakel']","['Ricky Rubio', ' Dylan Windler', ' Mamadi Diakite', ' Darius Garland']",0.6666666666666666,0.6666666666666666,Cavaliers,2022-10-23,Cavaliers
Jazz,Pelicans,"['Johnny Juzang', ' Udoka Azubuike', ' Micah Potter']","['Kira Lewis Jr.', ' E.J. Liddell']",1.0,0.6666666666666666,Pelicans,2022-10-23,Jazz
Timberwolves,Thunder,"['Josh Minott', ' Kyle Anderson', ' Luka Garza']","['Jalen Williams', ' Chet Holmgren']",0.6666666666666666,0.0,Thunder,2022-10-23,Timberwolves
Kings,Warriors,"['Neemias Queta', ' Keon Ellis']","['Ty Jerome', ' Anthony Lamb', ' Andre Iguodala']",0.0,0.6666666666666666,Warriors,2022-10-23,Warriors
Suns,Clippers,"['Ish Wainright', ' Jae Crowder']",['Moussa Diabate'],0.6666666666666666,0.6666666666666666,Clippers,2022-10-23,Suns
Pacers,76ers,"['Kendall Brown', ' Daniel Theis', ' Trevelin Queen']","['Julian Champagnie', ' Michael Foster Jr.']",0.25,0.25,76ers,2022-10-24,76ers
Raptors,Heat,"['Scottie Barnes', ' Otto Porter Jr.']","['Victor Oladipo', ' Omer Yurtseven']",0.5,0.25,Heat,2022-10-24,Raptors
Magic,Knicks,"['Markelle Fultz', ' Gary Harris', ' Jalen Suggs', ' Moritz Wagner', ' Jonathan Isaac']","['Quentin Grimes', ' Feron Hunt', ' Trevor Keels']",0.0,0.6666666666666666,Knicks,2022-10-24,Knicks
Celtics,Bulls,"['Mfiondu Kabengele', ' JD Davison', ' Danilo Gallinari', ' Robert Williams III']","['Lonzo Ball', ' Kostas Antetokounmpo']",0.75,0.5,Bulls,2022-10-24,Bulls
Jazz,Rockets,"['Johnny Juzang', ' Udoka Azubuike', ' Micah Potter']","[""Jae'Sean Tate"", ' Alperen Sengun', ' TyTy Washington Jr.', ' Darius Days', ' Bruno Fernando']",0.75,0.25,Rockets,2022-10-24,Rockets
Nets,Grizzlies,"['Markieff Morris', ' Seth Curry', ' T.J. Warren', ' Alondes Williams', ' David Duke Jr.']","['Ziaire Williams', ' Jaren Jackson Jr.', ' Danny Green']",0.3333333333333333,0.75,Grizzlies,2022-10-24,Grizzlies
Spurs,Timberwolves,"['Blake Wesley', ' Charles Bassey', ' Malaki Branham', ' Jordan Hall', ' Dominick Barlow']","['Josh Minott', ' Luka Garza', ' Kyle Anderson', ' Austin Rivers']",0.75,0.5,Timberwolves,2022-10-24,Spurs
Nuggets,Trail Blazers,"['Collin Gillespie', ' Jack White']","['Trendon Watford', ' Gary Payton II', ' Olivier Sarr', ' John Butler Jr.']",0.5,1.0,Trail Blazers,2022-10-24,Trail Blazers
Pistons,Wizards,"['Marvin Bagley III', ' Buddy Boeheim', ' Alec Burks', ' Braxton Key']","['Corey Kispert', ' Jordan Schakel']",0.25,0.75,Wizards,2022-10-25,Wizards
Mavericks,Pelicans,"['Tim Hardaway Jr.', ' Davis Bertans', ' Frank Ntilikina']","['Kira Lewis Jr.', ' Brandon Ingram', ' Herbert Jones', ' E.J. Liddell', ' Zion Williamson']",0.3333333333333333,0.75,Pelicans,2022-10-25,Pelicans
Clippers,Thunder,"['Jason Preston', ' Paul George', ' Marcus Morris Sr.', ' Moussa Diabate', ' Kawhi Leonard']","['Jalen Williams', ' Lindy Waters III', ' Chet Holmgren', ' Josh Giddey', ' Eugene Omoruyi']",0.5,0.25,Thunder,2022-10-25,Thunder
Warriors,Suns,"['Donte DiVincenzo', ' Patrick Baldwin Jr.', ' Ryan Rollins', ' Anthony Lamb', ' Andre Iguodala']","['Jae Crowder', ' Ish Wainright']",0.5,0.75,Suns,2022-10-25,Suns
Magic,Cavaliers,"['Markelle Fultz', ' Gary Harris', ' Jalen Suggs', ' Moritz Wagner', ' Jonathan Isaac']","['Ricky Rubio', ' Dylan Windler', ' Darius Garland', ' Isaiah Mobley']",0.0,0.75,Cavaliers,2022-10-26,Cavaliers
Hawks,Pistons,"['Bogdan Bogdanovic', ' Trent Forrest']","['Jaden Ivey', ' Marvin Bagley III', ' Buddy Boeheim', ' Alec Burks', ' Braxton Key']",0.75,0.2,Pistons,2022-10-26,Hawks
Hornets,Knicks,"['Terry Rozier', ' LaMelo Ball', ' Cody Martin']","['Quentin Grimes', ' Feron Hunt', ' Trevor Keels']",0.5,0.75,Knicks,2022-10-26,Knicks
76ers,Raptors,"['Julian Champagnie', ' Michael Foster Jr.']","['Ron Harper Jr.', ' Jeff Dowtin Jr.', ' Otto Porter Jr.']",0.2,0.6,Raptors,2022-10-26,Raptors
Nets,Bucks,"['Markieff Morris', ' Seth Curry', ' T.J. Warren', ' Alondes Williams', ' David Duke Jr.']","['Joe Ingles', ' AJ Green', ' Pat Connaughton', ' Khris Middleton']",0.25,1.0,Bucks,2022-10-26,Bucks
Pacers,Bulls,"['Kendall Brown', ' Daniel Theis', ' Trevelin Queen']","['Lonzo Ball', ' Kostas Antetokounmpo']",0.2,0.6,Bulls,2022-10-26,Bulls
Spurs,Timberwolves,"['Blake Wesley', ' Charles Bassey', ' Malaki Branham', ' Devin Vassell', ' Joshua Primo', ' Dominick Barlow']","['Josh Minott', ' Luka Garza', ' Kyle Anderson']",0.6,0.6,Timberwolves,2022-10-26,Timberwolves
